"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
92,925472.283311843872,-15.478961944580,0.000000000000,-68.525306701660,0.000000000000,53.046344757080,0.000000000000
93,937000.244513511658,-15.480599403381,0.000000000000,-68.623519897461,0.000000000000,53.142920494080,0.000000000000
94,948671.801485061646,-15.480979919434,0.000000000000,-68.534179687500,0.000000000000,53.053199768066,0.000000000000
95,960488.742881774902,-15.482316970825,0.000000000000,-68.544891357422,0.000000000000,53.062574386597,0.000000000000
96,972452.879656791687,-15.482564926147,0.000000000000,-68.686683654785,0.000000000000,53.204118728638,0.000000000000
97,984566.045318603516,-15.482992172241,0.000000000000,-68.481140136719,0.000000000000,52.998147964478,0.000000000000
98,996830.096216201782,-15.483119964600,0.000000000000,-68.580474853516,0.000000000000,53.097354888916,0.000000000000
99,1009246.911805152893,-15.483957290649,0.000000000000,-68.445945739746,0.000000000000,52.961988449097,0.000000000000
100,1021818.395002365112,-15.484522819519,0.000000000000,-68.634994506836,0.000000000000,53.150471687317,0.000000000000
101,1034546.472376823425,-15.485099792480,0.000000000000,-68.507476806641,0.000000000000,53.022377014160,0.000000000000
102,1047433.094511985779,-15.485190391541,0.000000000000,-68.674720764160,0.000000000000,53.189530372620,0.000000000000
103,1060480.236289978030,-15.485906600952,0.000000000000,-68.602119445801,0.000000000000,53.116212844849,0.000000000000
104,1073689.897174835210,-15.486794471741,0.000000000000,-68.407768249512,0.000000000000,52.920973777771,0.000000000000
105,1087064.101587295530,-15.486691474915,0.000000000000,-68.476943969727,0.000000000000,52.990252494812,0.000000000000
106,1100604.899112701420,-15.487276077271,0.000000000000,-68.644767761230,0.000000000000,53.157491683960,0.000000000000
107,1114314.364887237550,-15.488086700439,0.000000000000,-68.600463867188,0.000000000000,53.112377166748,0.000000000000
108,1128194.599893569950,-15.489111900330,0.000000000000,-68.596038818359,0.000000000000,53.106926918030,0.000000000000
109,1142247.731281280520,-15.489639282227,0.000000000000,-68.645484924316,0.000000000000,53.155845642090,0.000000000000
110,1156475.912683486940,-15.489650726318,0.000000000000,-68.651359558105,0.000000000000,53.161708831787,0.000000000000
111,1170881.324615478520,-15.489872932434,0.000000000000,-68.575874328613,0.000000000000,53.086001396179,0.000000000000
112,1185466.174690246580,-15.490645408630,0.000000000000,-68.581375122070,0.000000000000,53.090729713440,0.000000000000
113,1200232.698047637940,-15.491230010986,0.000000000000,-68.428009033203,0.000000000000,52.936779022217,0.000000000000
114,1215183.157661437990,-15.491914749146,0.000000000000,-68.506484985352,0.000000000000,53.014570236206,0.000000000000
115,1230319.844678878780,-15.492718696594,0.000000000000,-68.516265869141,0.000000000000,53.023547172546,0.000000000000
116,1245645.078844070430,-15.492740631104,0.000000000000,-68.511436462402,0.000000000000,53.018695831299,0.000000000000
117,1261161.208736419680,-15.493121147156,0.000000000000,-68.581893920898,0.000000000000,53.088772773743,0.000000000000
